2024-12-18 13:31:51 -> Error inserting row ['873', 'Jane Smith', '456 Oak St', '', 'Phoenix', 'NY', '', '123 Elm St', '123 Elm St', 'Los Angeles', '', 'Germany', 'Tops;Sweatshirts;Cargo', 'Small;medium']: Row contains None or empty values
2024-12-19 14:12:49 -> Error inserting row ['', '', '', '101 Maple St', 'New York', '', '', '202 Birch St', '101 Maple St', 'Los Angeles', 'TX', '', '', 'Medium']: Row contains None or empty values
2024-12-19 14:12:49 -> Error inserting row ['', 'Jane Smith', '101 Maple St', '', 'Phoenix', '', '', '456 Oak St', '', 'Houston', 'CA', 'Canada', '', '']: Row contains None or empty values
2024-12-19 14:12:49 -> Error inserting row ['507', 'Charlie Davis', '789 Pine St', '101 Maple St', 'Los Angeles', 'NY', 'Canada', '202 Birch St', '101 Maple St', 'Houston', 'IL', '', '', 'Small;medium']: Row contains None or empty values
2024-12-19 14:12:49 -> Error inserting row ['732', 'Jane Smith', '101 Maple St', '456 Oak St', 'Phoenix', 'IL', 'Canada', '123 Elm St', '', 'Los Angeles', 'IL', 'USA', ' ', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:12:49 -> Error inserting row ['', 'Bob Brown', '789 Pine St', '', '', 'NY', '', '101 Maple St', '202 Birch St', 'Chicago', '', '', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:12:49 -> Error inserting row ['353', 'Alice Johnson', '123 Elm St', '101 Maple St', '', 'NY', 'UK', '456 Oak St', '202 Birch St', 'Los Angeles', 'AZ', '', ' ', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:12:49 -> Error inserting row ['354', '', '', '101 Maple St', 'Houston', '', 'Canada', '101 Maple St', '', 'Phoenix', 'IL', 'UK', 'Top;Jacket;Hoodies', 'Large']: Row contains None or empty values
2024-12-19 14:12:49 -> Error inserting row ['584', '', '', '202 Birch St', 'Houston', '', 'Australia', '123 Elm St', '789 Pine St', 'Los Angeles', 'IL', 'Canada', 'Tops;Sweatshirts;Cargo', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:12:49 -> Error inserting row ['834', 'Bob Brown', '123 Elm St', '101 Maple St', 'Los Angeles', 'AZ', 'UK', '123 Elm St', '123 Elm St', 'Houston', 'TX', '', 'Top;Jacket;Hoodies', 'Small;medium']: Row contains None or empty values
2024-12-19 14:12:49 -> Error inserting row ['991', '', '202 Birch St', '789 Pine St', '', 'CA', 'USA', '', '456 Oak St', 'Chicago', 'NY', 'Australia', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:12:49 -> Error inserting row ['187', 'Charlie Davis', '', '123 Elm St', 'New York', 'IL', 'Canada', '', '789 Pine St', 'Houston', '', 'Australia', 'Shirts;Pants', 'Small;medium']: Row contains None or empty values
2024-12-19 14:12:49 -> Error inserting row ['892', 'Charlie Davis', '', '', '', 'CA', '', '789 Pine St', '456 Oak St', 'New York', 'NY', '', ' ', 'Small;medium']: Row contains None or empty values
2024-12-19 14:12:49 -> Error inserting row ['891', 'Charlie Davis', '789 Pine St', '101 Maple St', 'Houston', 'AZ', '', '789 Pine St', '456 Oak St', '', 'CA', '', 'Top;Jacket;Hoodies', 'All']: Row contains None or empty values
2024-12-19 14:12:49 -> Error inserting row ['196', 'Bob Brown', '', '101 Maple St', '', 'TX', 'UK', '123 Elm St', '789 Pine St', '', 'IL', '', 'Top;Jacket;Hoodies', 'Medium']: Row contains None or empty values
2024-12-19 14:12:49 -> Error inserting row ['186', '', '', '123 Elm St', '', '', 'Australia', '789 Pine St', '', 'Los Angeles', 'NY', '', '', 'Small;medium']: Row contains None or empty values
2024-12-19 14:12:49 -> Error inserting row ['410', 'Bob Brown', '', '', 'Phoenix', '', 'USA', '456 Oak St', '', '', 'IL', '', 'Tops;Sweatshirts;Cargo', 'Medium']: Row contains None or empty values
2024-12-19 14:17:59 -> Error inserting row ['', '', '123 Elm St', '', 'Phoenix', 'TX', '', '202 Birch St', '456 Oak St', '', '', '', 'Shirts', 'Medium']: Row contains None or empty values
2024-12-19 14:17:59 -> Error inserting row ['628', 'Bob Brown', '101 Maple St', '', '', '', 'UK', '', '789 Pine St', 'Houston', 'CA', 'UK', 'Top;Jacket;Hoodies', 'Medium']: Row contains None or empty values
2024-12-19 14:17:59 -> Error inserting row ['', 'Jane Smith', '456 Oak St', '456 Oak St', 'Chicago', '', 'Canada', '202 Birch St', '123 Elm St', 'Phoenix', '', '', 'Shirts', '']: Row contains None or empty values
2024-12-19 14:17:59 -> Error inserting row ['', '', '', '', 'Los Angeles', 'CA', 'Australia', '', '789 Pine St', 'Phoenix', 'IL', 'Australia', '', '']: Row contains None or empty values
2024-12-19 14:17:59 -> Error inserting row ['656', 'Charlie Davis', '', '123 Elm St', 'Los Angeles', 'NY', '', '101 Maple St', '', 'Los Angeles', '', '', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:17:59 -> Error inserting row ['505', 'John Doe', '456 Oak St', '456 Oak St', 'Houston', 'CA', 'Germany', '123 Elm St', '123 Elm St', '', 'NY', 'USA', '', 'All']: Row contains None or empty values
2024-12-19 14:17:59 -> Error inserting row ['336', 'Jane Smith', '101 Maple St', '', '', 'NY', 'Germany', '456 Oak St', '456 Oak St', 'Los Angeles', '', '', 'Shirts', 'Small;medium']: Row contains None or empty values
2024-12-19 14:17:59 -> Error inserting row ['899', 'Alice Johnson', '202 Birch St', '', 'Chicago', 'NY', 'USA', '101 Maple St', '456 Oak St', 'Chicago', 'NY', 'UK', 'Shirts', 'Small']: Row contains None or empty values
2024-12-19 14:17:59 -> Error inserting row ['379', '', '123 Elm St', '101 Maple St', '', 'IL', 'Australia', '789 Pine St', '789 Pine St', 'Los Angeles', 'TX', 'UK', 'Shirts', 'All']: Row contains None or empty values
2024-12-19 14:17:59 -> Error inserting row ['315', '', '456 Oak St', '202 Birch St', 'Chicago', 'IL', 'USA', '202 Birch St', '202 Birch St', '', 'TX', 'Germany', 'Shirts;Pants', 'Medium']: Row contains None or empty values
2024-12-19 14:17:59 -> Error inserting row ['108', '', '202 Birch St', '123 Elm St', 'New York', 'TX', 'Canada', '123 Elm St', '789 Pine St', 'Houston', 'NY', 'USA', 'Shirts', 'Small']: Row contains None or empty values
2024-12-19 14:17:59 -> Error inserting row ['596', '', '', '202 Birch St', 'Chicago', 'IL', 'UK', '', '', 'New York', 'CA', 'Germany', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:17:59 -> Error inserting row ['140', 'Charlie Davis', '202 Birch St', '202 Birch St', 'Phoenix', 'NY', 'USA', '', '202 Birch St', 'Houston', 'IL', 'UK', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:17:59 -> Error inserting row ['243', '', '', '456 Oak St', 'Houston', 'CA', 'Canada', '456 Oak St', '101 Maple St', 'Los Angeles', 'AZ', 'USA', 'Top;Jacket;Hoodies', 'Small;medium']: Row contains None or empty values
2024-12-19 14:17:59 -> Error inserting row ['306', 'Charlie Davis', '202 Birch St', '202 Birch St', '', 'CA', 'Canada', '456 Oak St', '', 'New York', '', 'USA', '', 'Medium']: Row contains None or empty values
2024-12-19 14:17:59 -> Error inserting row ['473', '', '', '', '', 'TX', 'Canada', '', '101 Maple St', '', 'IL', 'USA', '', 'All']: Row contains None or empty values
2024-12-19 14:17:59 -> Error inserting row ['', '', '', '202 Birch St', 'Chicago', '', 'Australia', '', '', 'Houston', 'NY', 'Australia', 'Shirts', '']: Row contains None or empty values
2024-12-19 14:17:59 -> Error inserting row ['', '', '', '123 Elm St', '', 'AZ', 'Australia', '101 Maple St', '', '', 'TX', '', 'Top;Jacket;Hoodies', 'Small;medium']: Row contains None or empty values
2024-12-19 14:17:59 -> Error inserting row ['267', 'Bob Brown', '456 Oak St', '789 Pine St', 'Phoenix', 'TX', 'Germany', '456 Oak St', '789 Pine St', 'Phoenix', 'CA', '', ' ', 'All']: Row contains None or empty values
2024-12-19 14:17:59 -> Error inserting row ['257', 'Jane Smith', '202 Birch St', '789 Pine St', '', 'AZ', 'Canada', '456 Oak St', '456 Oak St', '', 'AZ', 'USA', ' ', 'Large']: Row contains None or empty values
2024-12-19 14:18:02 -> Error inserting row ['', '', '123 Elm St', '', 'Phoenix', 'TX', '', '202 Birch St', '456 Oak St', '', '', '', 'Shirts', 'Medium']: Row contains None or empty values
2024-12-19 14:18:02 -> Error inserting row ['628', 'Bob Brown', '101 Maple St', '', '', '', 'UK', '', '789 Pine St', 'Houston', 'CA', 'UK', 'Top;Jacket;Hoodies', 'Medium']: Row contains None or empty values
2024-12-19 14:18:02 -> Error inserting row ['', 'Jane Smith', '456 Oak St', '456 Oak St', 'Chicago', '', 'Canada', '202 Birch St', '123 Elm St', 'Phoenix', '', '', 'Shirts', '']: Row contains None or empty values
2024-12-19 14:18:02 -> Error inserting row ['', '', '', '', 'Los Angeles', 'CA', 'Australia', '', '789 Pine St', 'Phoenix', 'IL', 'Australia', '', '']: Row contains None or empty values
2024-12-19 14:18:02 -> Error inserting row ['656', 'Charlie Davis', '', '123 Elm St', 'Los Angeles', 'NY', '', '101 Maple St', '', 'Los Angeles', '', '', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:18:02 -> Error inserting row ['505', 'John Doe', '456 Oak St', '456 Oak St', 'Houston', 'CA', 'Germany', '123 Elm St', '123 Elm St', '', 'NY', 'USA', '', 'All']: Row contains None or empty values
2024-12-19 14:18:02 -> Error inserting row ['336', 'Jane Smith', '101 Maple St', '', '', 'NY', 'Germany', '456 Oak St', '456 Oak St', 'Los Angeles', '', '', 'Shirts', 'Small;medium']: Row contains None or empty values
2024-12-19 14:18:02 -> Error inserting row ['899', 'Alice Johnson', '202 Birch St', '', 'Chicago', 'NY', 'USA', '101 Maple St', '456 Oak St', 'Chicago', 'NY', 'UK', 'Shirts', 'Small']: Row contains None or empty values
2024-12-19 14:18:02 -> Error inserting row ['379', '', '123 Elm St', '101 Maple St', '', 'IL', 'Australia', '789 Pine St', '789 Pine St', 'Los Angeles', 'TX', 'UK', 'Shirts', 'All']: Row contains None or empty values
2024-12-19 14:18:02 -> Error inserting row ['315', '', '456 Oak St', '202 Birch St', 'Chicago', 'IL', 'USA', '202 Birch St', '202 Birch St', '', 'TX', 'Germany', 'Shirts;Pants', 'Medium']: Row contains None or empty values
2024-12-19 14:18:02 -> Error inserting row ['108', '', '202 Birch St', '123 Elm St', 'New York', 'TX', 'Canada', '123 Elm St', '789 Pine St', 'Houston', 'NY', 'USA', 'Shirts', 'Small']: Row contains None or empty values
2024-12-19 14:18:02 -> Error inserting row ['596', '', '', '202 Birch St', 'Chicago', 'IL', 'UK', '', '', 'New York', 'CA', 'Germany', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:18:02 -> Error inserting row ['140', 'Charlie Davis', '202 Birch St', '202 Birch St', 'Phoenix', 'NY', 'USA', '', '202 Birch St', 'Houston', 'IL', 'UK', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:18:02 -> Error inserting row ['243', '', '', '456 Oak St', 'Houston', 'CA', 'Canada', '456 Oak St', '101 Maple St', 'Los Angeles', 'AZ', 'USA', 'Top;Jacket;Hoodies', 'Small;medium']: Row contains None or empty values
2024-12-19 14:18:02 -> Error inserting row ['306', 'Charlie Davis', '202 Birch St', '202 Birch St', '', 'CA', 'Canada', '456 Oak St', '', 'New York', '', 'USA', '', 'Medium']: Row contains None or empty values
2024-12-19 14:18:02 -> Error inserting row ['473', '', '', '', '', 'TX', 'Canada', '', '101 Maple St', '', 'IL', 'USA', '', 'All']: Row contains None or empty values
2024-12-19 14:18:02 -> Error inserting row ['', '', '', '202 Birch St', 'Chicago', '', 'Australia', '', '', 'Houston', 'NY', 'Australia', 'Shirts', '']: Row contains None or empty values
2024-12-19 14:18:02 -> Error inserting row ['', '', '', '123 Elm St', '', 'AZ', 'Australia', '101 Maple St', '', '', 'TX', '', 'Top;Jacket;Hoodies', 'Small;medium']: Row contains None or empty values
2024-12-19 14:18:02 -> Error inserting row ['267', 'Bob Brown', '456 Oak St', '789 Pine St', 'Phoenix', 'TX', 'Germany', '456 Oak St', '789 Pine St', 'Phoenix', 'CA', '', ' ', 'All']: Row contains None or empty values
2024-12-19 14:18:02 -> Error inserting row ['257', 'Jane Smith', '202 Birch St', '789 Pine St', '', 'AZ', 'Canada', '456 Oak St', '456 Oak St', '', 'AZ', 'USA', ' ', 'Large']: Row contains None or empty values
2024-12-19 14:36:04 -> Error inserting row ['336', 'Bob Brown', '', '', '', 'IL', 'UK', '', '202 Birch St', 'Houston', 'CA', 'UK', 'Top;Jacket;Hoodies', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:36:04 -> Error inserting row ['119', 'John Doe', '', '', '', 'NY', '', '456 Oak St', '789 Pine St', 'Phoenix', '', '', '', 'All']: Row contains None or empty values
2024-12-19 14:36:04 -> Error inserting row ['443', 'Jane Smith', '101 Maple St', '', 'Houston', 'NY', 'UK', '202 Birch St', '202 Birch St', 'New York', 'TX', '', 'Tops;Sweatshirts;Cargo', '']: Row contains None or empty values
2024-12-19 14:36:04 -> Error inserting row ['436', 'Alice Johnson', '456 Oak St', '202 Birch St', 'Phoenix', 'NY', 'Australia', '456 Oak St', '202 Birch St', 'Los Angeles', 'AZ', 'USA', '', 'Medium']: Row contains None or empty values
2024-12-19 14:36:04 -> Error inserting row ['929', '', '123 Elm St', '', '', 'IL', '', '101 Maple St', '123 Elm St', '', '', 'Canada', '', 'All']: Row contains None or empty values
2024-12-19 14:36:04 -> Error inserting row ['230', 'Alice Johnson', '202 Birch St', '789 Pine St', 'New York', '', '', '202 Birch St', '101 Maple St', 'Houston', 'IL', 'USA', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:36:04 -> Error inserting row ['666', '', '202 Birch St', '', '', 'AZ', 'Australia', '202 Birch St', '', '', 'IL', 'Canada', '', '']: Row contains None or empty values
2024-12-19 14:36:04 -> Error inserting row ['744', 'Charlie Davis', '789 Pine St', '', 'Los Angeles', 'CA', 'Canada', '202 Birch St', '123 Elm St', 'Los Angeles', '', 'USA', 'Top;Jacket;Hoodies', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:36:04 -> Error inserting row ['205', '', '', '', 'Los Angeles', '', '', '123 Elm St', '101 Maple St', '', 'IL', 'Germany', 'Shirts', '']: Row contains None or empty values
2024-12-19 14:36:04 -> Error inserting row ['', '', '202 Birch St', '', 'New York', 'AZ', '', '202 Birch St', '', 'New York', 'NY', '', ' ', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:36:04 -> Error inserting row ['744', 'John Doe', '', '', '', 'NY', 'Germany', '', '', 'Houston', 'NY', 'Germany', '', '']: Row contains None or empty values
2024-12-19 14:36:04 -> Error inserting row ['', 'Jane Smith', '', '123 Elm St', '', 'TX', '', '202 Birch St', '', 'Phoenix', 'IL', '', 'Shirts', '']: Row contains None or empty values
2024-12-19 14:36:04 -> Error inserting row ['', 'Alice Johnson', '202 Birch St', '', 'Houston', 'CA', '', '', '789 Pine St', '', 'NY', '', ' ', '']: Row contains None or empty values
2024-12-19 14:36:04 -> Error inserting row ['', '', '', '202 Birch St', '', 'NY', '', '', '123 Elm St', 'Houston', '', 'USA', 'Tops;Sweatshirts;Cargo', 'Small']: Row contains None or empty values
2024-12-19 14:36:04 -> Error inserting row ['353', '', '456 Oak St', '101 Maple St', '', '', '', '202 Birch St', '', '', 'AZ', '', 'Shirts;Pants', 'Medium']: Row contains None or empty values
2024-12-19 14:36:04 -> Error inserting row ['962', '', '456 Oak St', '789 Pine St', 'Phoenix', 'AZ', 'Canada', '789 Pine St', '789 Pine St', 'Phoenix', 'IL', 'Canada', 'Tops;Sweatshirts;Cargo', 'Medium']: Row contains None or empty values
2024-12-19 14:36:04 -> Error inserting row ['402', '', '123 Elm St', '202 Birch St', '', 'TX', 'USA', '202 Birch St', '456 Oak St', '', 'TX', '', 'Shirts;Pants', '']: Row contains None or empty values
2024-12-19 14:36:04 -> Error inserting row ['240', 'Jane Smith', '', '789 Pine St', '', 'IL', 'Australia', '456 Oak St', '202 Birch St', '', 'IL', 'Germany', 'Shirts', '']: Row contains None or empty values
2024-12-19 14:36:04 -> Error inserting row ['', 'Bob Brown', '', '', 'Houston', 'CA', 'Germany', '', '123 Elm St', 'Phoenix', '', '', '', 'All']: Row contains None or empty values
2024-12-19 14:36:04 -> Error inserting row ['983', 'Jane Smith', '202 Birch St', '', 'Houston', '', 'UK', '123 Elm St', '123 Elm St', '', 'TX', 'UK', ' ', '']: Row contains None or empty values
2024-12-19 14:36:07 -> Error inserting row ['336', 'Bob Brown', '', '', '', 'IL', 'UK', '', '202 Birch St', 'Houston', 'CA', 'UK', 'Top;Jacket;Hoodies', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:36:07 -> Error inserting row ['119', 'John Doe', '', '', '', 'NY', '', '456 Oak St', '789 Pine St', 'Phoenix', '', '', '', 'All']: Row contains None or empty values
2024-12-19 14:36:07 -> Error inserting row ['443', 'Jane Smith', '101 Maple St', '', 'Houston', 'NY', 'UK', '202 Birch St', '202 Birch St', 'New York', 'TX', '', 'Tops;Sweatshirts;Cargo', '']: Row contains None or empty values
2024-12-19 14:36:07 -> Error inserting row ['436', 'Alice Johnson', '456 Oak St', '202 Birch St', 'Phoenix', 'NY', 'Australia', '456 Oak St', '202 Birch St', 'Los Angeles', 'AZ', 'USA', '', 'Medium']: Row contains None or empty values
2024-12-19 14:36:07 -> Error inserting row ['929', '', '123 Elm St', '', '', 'IL', '', '101 Maple St', '123 Elm St', '', '', 'Canada', '', 'All']: Row contains None or empty values
2024-12-19 14:36:07 -> Error inserting row ['230', 'Alice Johnson', '202 Birch St', '789 Pine St', 'New York', '', '', '202 Birch St', '101 Maple St', 'Houston', 'IL', 'USA', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:36:07 -> Error inserting row ['666', '', '202 Birch St', '', '', 'AZ', 'Australia', '202 Birch St', '', '', 'IL', 'Canada', '', '']: Row contains None or empty values
2024-12-19 14:36:07 -> Error inserting row ['744', 'Charlie Davis', '789 Pine St', '', 'Los Angeles', 'CA', 'Canada', '202 Birch St', '123 Elm St', 'Los Angeles', '', 'USA', 'Top;Jacket;Hoodies', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:36:07 -> Error inserting row ['205', '', '', '', 'Los Angeles', '', '', '123 Elm St', '101 Maple St', '', 'IL', 'Germany', 'Shirts', '']: Row contains None or empty values
2024-12-19 14:36:07 -> Error inserting row ['', '', '202 Birch St', '', 'New York', 'AZ', '', '202 Birch St', '', 'New York', 'NY', '', ' ', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:36:07 -> Error inserting row ['744', 'John Doe', '', '', '', 'NY', 'Germany', '', '', 'Houston', 'NY', 'Germany', '', '']: Row contains None or empty values
2024-12-19 14:36:07 -> Error inserting row ['', 'Jane Smith', '', '123 Elm St', '', 'TX', '', '202 Birch St', '', 'Phoenix', 'IL', '', 'Shirts', '']: Row contains None or empty values
2024-12-19 14:36:07 -> Error inserting row ['', 'Alice Johnson', '202 Birch St', '', 'Houston', 'CA', '', '', '789 Pine St', '', 'NY', '', ' ', '']: Row contains None or empty values
2024-12-19 14:36:07 -> Error inserting row ['', '', '', '202 Birch St', '', 'NY', '', '', '123 Elm St', 'Houston', '', 'USA', 'Tops;Sweatshirts;Cargo', 'Small']: Row contains None or empty values
2024-12-19 14:36:07 -> Error inserting row ['353', '', '456 Oak St', '101 Maple St', '', '', '', '202 Birch St', '', '', 'AZ', '', 'Shirts;Pants', 'Medium']: Row contains None or empty values
2024-12-19 14:36:07 -> Error inserting row ['962', '', '456 Oak St', '789 Pine St', 'Phoenix', 'AZ', 'Canada', '789 Pine St', '789 Pine St', 'Phoenix', 'IL', 'Canada', 'Tops;Sweatshirts;Cargo', 'Medium']: Row contains None or empty values
2024-12-19 14:36:07 -> Error inserting row ['402', '', '123 Elm St', '202 Birch St', '', 'TX', 'USA', '202 Birch St', '456 Oak St', '', 'TX', '', 'Shirts;Pants', '']: Row contains None or empty values
2024-12-19 14:36:07 -> Error inserting row ['240', 'Jane Smith', '', '789 Pine St', '', 'IL', 'Australia', '456 Oak St', '202 Birch St', '', 'IL', 'Germany', 'Shirts', '']: Row contains None or empty values
2024-12-19 14:36:07 -> Error inserting row ['', 'Bob Brown', '', '', 'Houston', 'CA', 'Germany', '', '123 Elm St', 'Phoenix', '', '', '', 'All']: Row contains None or empty values
2024-12-19 14:36:07 -> Error inserting row ['983', 'Jane Smith', '202 Birch St', '', 'Houston', '', 'UK', '123 Elm St', '123 Elm St', '', 'TX', 'UK', ' ', '']: Row contains None or empty values
2024-12-19 14:41:21 -> Error inserting row ['524', 'Jane Smith', '123 Elm St', '123 Elm St', 'Chicago', '', '', '202 Birch St', '', 'New York', 'IL', 'UK', 'Top;Jacket;Hoodies', 'Small']: Row contains None or empty values
2024-12-19 14:41:21 -> Error inserting row ['940', 'Jane Smith', '', '', 'Chicago', 'IL', 'Canada', '101 Maple St', '202 Birch St', 'Houston', '', '', 'Shirts;Pants', 'Large']: Row contains None or empty values
2024-12-19 14:41:21 -> Error inserting row ['817', 'Jane Smith', '202 Birch St', '123 Elm St', 'Houston', 'NY', '', '', '789 Pine St', 'New York', 'CA', '', 'Top;Jacket;Hoodies', 'Large']: Row contains None or empty values
2024-12-19 14:41:21 -> Error inserting row ['', '', '', '123 Elm St', 'New York', '', '', '789 Pine St', '', 'Los Angeles', 'CA', 'Canada', '', 'Small;medium']: Row contains None or empty values
2024-12-19 14:41:21 -> Error inserting row ['199', 'Jane Smith', '456 Oak St', '789 Pine St', 'Houston', '', 'Canada', '', '202 Birch St', 'New York', '', 'Canada', 'Top;Jacket;Hoodies', 'Small;medium']: Row contains None or empty values
2024-12-19 14:41:21 -> Error inserting row ['677', '', '123 Elm St', '456 Oak St', 'New York', 'TX', 'UK', '202 Birch St', '202 Birch St', '', '', 'UK', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:41:21 -> Error inserting row ['103', 'Alice Johnson', '789 Pine St', '202 Birch St', 'Chicago', 'IL', 'Canada', '456 Oak St', '202 Birch St', '', 'AZ', 'USA', '', 'Small']: Row contains None or empty values
2024-12-19 14:41:21 -> Error inserting row ['', '', '', '202 Birch St', '', 'AZ', 'Germany', '456 Oak St', '789 Pine St', 'Phoenix', 'IL', '', 'Top;Jacket;Hoodies', 'Large']: Row contains None or empty values
2024-12-19 14:41:21 -> Error inserting row ['534', '', '202 Birch St', '202 Birch St', 'Los Angeles', 'CA', '', '789 Pine St', '101 Maple St', '', 'AZ', 'UK', 'Tops;Sweatshirts;Cargo', 'Small;medium']: Row contains None or empty values
2024-12-19 14:41:21 -> Error inserting row ['', 'Bob Brown', '202 Birch St', '456 Oak St', 'Los Angeles', 'IL', 'USA', '101 Maple St', '123 Elm St', 'Chicago', '', 'Australia', '', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:41:21 -> Error inserting row ['173', 'Jane Smith', '', '', '', '', 'UK', '101 Maple St', '123 Elm St', '', 'IL', 'USA', 'Tops;Sweatshirts;Cargo', '']: Row contains None or empty values
2024-12-19 14:41:21 -> Error inserting row ['454', '', '789 Pine St', '456 Oak St', '', 'CA', 'Germany', '', '123 Elm St', 'Chicago', '', 'Canada', 'Tops;Sweatshirts;Cargo', 'Large']: Row contains None or empty values
2024-12-19 14:41:21 -> Error inserting row ['839', '', '123 Elm St', '789 Pine St', '', '', '', '456 Oak St', '', 'Houston', 'CA', 'USA', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:41:21 -> Error inserting row ['', 'Alice Johnson', '202 Birch St', '', 'Los Angeles', '', 'Australia', '', '', 'Chicago', '', 'UK', '', 'Small;medium']: Row contains None or empty values
2024-12-19 14:41:21 -> Error inserting row ['241', '', '123 Elm St', '', '', 'CA', 'USA', '456 Oak St', '202 Birch St', 'Chicago', 'IL', 'Canada', '', '']: Row contains None or empty values
2024-12-19 14:41:21 -> Error inserting row ['554', '', '', '', 'New York', '', 'USA', '202 Birch St', '789 Pine St', 'Los Angeles', '', '', 'Shirts;Pants', '']: Row contains None or empty values
2024-12-19 14:41:21 -> Error inserting row ['', 'Bob Brown', '202 Birch St', '456 Oak St', 'Los Angeles', 'CA', '', '', '123 Elm St', 'Los Angeles', 'IL', 'USA', ' ', '']: Row contains None or empty values
2024-12-19 14:41:21 -> Error inserting row ['530', 'John Doe', '101 Maple St', '', '', 'NY', 'Canada', '', '', '', 'AZ', '', '', 'Small;medium']: Row contains None or empty values
2024-12-19 14:41:21 -> Error inserting row ['247', 'Charlie Davis', '789 Pine St', '456 Oak St', 'Chicago', 'IL', 'Australia', '101 Maple St', '101 Maple St', 'New York', 'TX', '', 'Tops;Sweatshirts;Cargo', 'Small']: Row contains None or empty values
2024-12-19 14:41:21 -> Error inserting row ['779', 'Bob Brown', '202 Birch St', '123 Elm St', 'Los Angeles', '', 'Australia', '202 Birch St', '202 Birch St', '', 'IL', 'Germany', 'Shirts;Pants', '']: Row contains None or empty values
2024-12-19 14:41:22 -> Error inserting row ['524', 'Jane Smith', '123 Elm St', '123 Elm St', 'Chicago', '', '', '202 Birch St', '', 'New York', 'IL', 'UK', 'Top;Jacket;Hoodies', 'Small']: Row contains None or empty values
2024-12-19 14:41:22 -> Error inserting row ['940', 'Jane Smith', '', '', 'Chicago', 'IL', 'Canada', '101 Maple St', '202 Birch St', 'Houston', '', '', 'Shirts;Pants', 'Large']: Row contains None or empty values
2024-12-19 14:41:22 -> Error inserting row ['817', 'Jane Smith', '202 Birch St', '123 Elm St', 'Houston', 'NY', '', '', '789 Pine St', 'New York', 'CA', '', 'Top;Jacket;Hoodies', 'Large']: Row contains None or empty values
2024-12-19 14:41:22 -> Error inserting row ['', '', '', '123 Elm St', 'New York', '', '', '789 Pine St', '', 'Los Angeles', 'CA', 'Canada', '', 'Small;medium']: Row contains None or empty values
2024-12-19 14:41:22 -> Error inserting row ['199', 'Jane Smith', '456 Oak St', '789 Pine St', 'Houston', '', 'Canada', '', '202 Birch St', 'New York', '', 'Canada', 'Top;Jacket;Hoodies', 'Small;medium']: Row contains None or empty values
2024-12-19 14:41:22 -> Error inserting row ['677', '', '123 Elm St', '456 Oak St', 'New York', 'TX', 'UK', '202 Birch St', '202 Birch St', '', '', 'UK', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:41:22 -> Error inserting row ['103', 'Alice Johnson', '789 Pine St', '202 Birch St', 'Chicago', 'IL', 'Canada', '456 Oak St', '202 Birch St', '', 'AZ', 'USA', '', 'Small']: Row contains None or empty values
2024-12-19 14:41:22 -> Error inserting row ['', '', '', '202 Birch St', '', 'AZ', 'Germany', '456 Oak St', '789 Pine St', 'Phoenix', 'IL', '', 'Top;Jacket;Hoodies', 'Large']: Row contains None or empty values
2024-12-19 14:41:22 -> Error inserting row ['534', '', '202 Birch St', '202 Birch St', 'Los Angeles', 'CA', '', '789 Pine St', '101 Maple St', '', 'AZ', 'UK', 'Tops;Sweatshirts;Cargo', 'Small;medium']: Row contains None or empty values
2024-12-19 14:41:22 -> Error inserting row ['', 'Bob Brown', '202 Birch St', '456 Oak St', 'Los Angeles', 'IL', 'USA', '101 Maple St', '123 Elm St', 'Chicago', '', 'Australia', '', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:41:22 -> Error inserting row ['173', 'Jane Smith', '', '', '', '', 'UK', '101 Maple St', '123 Elm St', '', 'IL', 'USA', 'Tops;Sweatshirts;Cargo', '']: Row contains None or empty values
